iter,f_loss,elapsed_sec
0,2.3109560012817383,0.03
1,1.7319540977478027,0.06
2,2.536489248275757,0.09
3,3.203500270843506,0.12
4,3.1087119579315186,0.15
5,2.680612087249756,0.18
6,2.4030673503875732,0.21
7,2.6306111812591553,0.24
8,2.371166229248047,0.27
9,2.649336338043213,0.3
10,2.4918904304504395,0.33
11,2.284719228744507,0.36
12,2.0164265632629395,0.39
13,2.3399088382720947,0.42
14,2.2277274131774902,0.45
15,2.1638500690460205,0.48
16,2.239021062850952,0.51
17,2.2600743770599365,0.54
18,2.065737247467041,0.56
19,2.106518268585205,0.59
20,2.1112143993377686,0.62
21,2.1703855991363525,0.65
22,2.0559754371643066,0.68
23,2.1951522827148438,0.71
24,2.0045909881591797,0.74
25,1.945108413696289,0.77
26,1.993804693222046,0.8
27,2.20524263381958,0.83
28,2.0994644165039062,0.86
29,2.0073599815368652,0.89
30,2.1618831157684326,0.92
31,2.074198007583618,0.95
32,1.992081642150879,0.98
33,2.0650081634521484,1.01
34,2.0509655475616455,1.04
35,2.0963613986968994,1.07
36,2.116931438446045,1.09
37,2.1430165767669678,1.12
38,2.101928234100342,1.15
39,2.2028849124908447,1.18
40,2.1794180870056152,1.21
41,2.2276713848114014,1.24
42,1.9586896896362305,1.27
43,2.0905697345733643,1.3
44,2.071868419647217,1.34
45,2.0187244415283203,1.37
46,1.9767695665359497,1.4
47,1.9432438611984253,1.44
48,2.184580087661743,1.47
49,2.1917173862457275,1.5
50,1.9817020893096924,1.53
51,1.980931282043457,1.56
52,2.1185450553894043,1.59
53,1.9045912027359009,1.62
54,1.93869948387146,1.65
55,2.063701629638672,1.68
56,2.1503517627716064,1.72
57,1.9874987602233887,1.75
58,2.106367588043213,1.79
59,1.995187759399414,1.82
60,2.0485973358154297,1.85
61,1.8557512760162354,1.88
62,2.0172576904296875,1.91
63,1.898404836654663,1.94
64,1.9869983196258545,1.97
65,2.002070188522339,2.0
66,2.0673792362213135,2.03
67,1.9818403720855713,2.06
68,2.0946602821350098,2.09
69,2.153763771057129,2.12
70,2.199192523956299,2.15
71,2.0301496982574463,2.17
72,1.9637303352355957,2.2
73,2.101027250289917,2.23
74,1.9836325645446777,2.26
75,2.0852198600769043,2.29
76,2.1051597595214844,2.32
77,2.39068341255188,2.35
78,2.014866828918457,2.38
79,2.0372114181518555,2.41
80,2.050879955291748,2.44
81,2.0833358764648438,2.47
82,2.1518874168395996,2.5
83,2.17470645904541,2.52
84,1.9781463146209717,2.55
85,2.0549628734588623,2.58
86,1.948334813117981,2.61
87,1.9560497999191284,2.64
88,1.8844194412231445,2.67
89,2.139410972595215,2.7
90,1.9740382432937622,2.73
91,1.8611481189727783,2.76
92,2.0368943214416504,2.79
93,2.0625219345092773,2.82
94,2.1515631675720215,2.84
95,2.085928201675415,2.87
96,1.9726582765579224,2.9
97,1.7785553932189941,2.93
98,2.023883581161499,2.96
99,2.031876802444458,2.99
100,2.050778388977051,3.02
101,2.164360523223877,3.05
102,2.000356674194336,3.08
103,1.9178271293640137,3.11
104,1.9961721897125244,3.13
105,1.9703141450881958,3.16
106,2.1302590370178223,3.19
107,1.9535129070281982,3.22
108,1.9490772485733032,3.25
109,2.0151329040527344,3.28
110,2.093085765838623,3.31
111,1.9709124565124512,3.34
112,2.2416725158691406,3.37
113,2.269143581390381,3.39
114,1.922184705734253,3.42
115,2.0258703231811523,3.45
116,1.993098258972168,3.48
117,2.0203161239624023,3.51
118,2.033879518508911,3.54
119,2.0839157104492188,3.57
120,1.944929599761963,3.6
121,2.131816864013672,3.62
122,2.033942937850952,3.65
123,1.9528414011001587,3.68
124,1.9690959453582764,3.71
125,1.913501501083374,3.74
126,1.9271093606948853,3.77
127,1.9150663614273071,3.8
128,2.2011022567749023,3.83
129,1.9757585525512695,3.85
130,1.9726269245147705,3.88
131,2.1023333072662354,3.91
132,1.9473836421966553,3.94
133,2.0428736209869385,3.97
134,1.9879498481750488,4.0
135,1.9833054542541504,4.03
136,2.114696502685547,4.06
137,2.1068294048309326,4.09
138,2.2831459045410156,4.11
139,1.947117805480957,4.14
140,1.9979994297027588,4.17
141,1.9845609664916992,4.2
142,2.115612030029297,4.23
143,1.9398927688598633,4.26
144,2.063296318054199,4.29
