iter,f_loss,elapsed_sec
0,2.00897216796875,0.03
1,5.694388389587402,0.07
2,11.2750883102417,0.1
3,19.14602279663086,0.13
4,31.13063621520996,0.16
5,40.33899688720703,0.19
6,69.933349609375,0.23
7,88.96955108642578,0.26
8,104.91877746582031,0.29
9,136.06520080566406,0.32
10,174.02908325195312,0.35
11,205.6058807373047,0.38
12,246.29046630859375,0.42
13,292.41119384765625,0.45
14,356.4307556152344,0.48
15,408.0070495605469,0.51
16,457.923583984375,0.55
17,531.9577026367188,0.58
18,657.9915161132812,0.61
19,752.6380615234375,0.65
20,821.1123657226562,0.68
21,870.218017578125,0.71
22,869.6495361328125,0.75
23,932.3450317382812,0.78
24,911.0132446289062,0.82
25,866.313720703125,0.85
26,784.6802978515625,0.88
27,736.0180053710938,0.92
28,562.4669189453125,0.95
29,382.0023193359375,0.98
30,43.57305908203125,1.02
31,-191.11265563964844,1.05
32,-343.31573486328125,1.08
33,-506.28125,1.12
34,-556.5380859375,1.15
35,-574.383056640625,1.18
36,-604.9944458007812,1.22
37,-606.0633544921875,1.25
38,-609.5277709960938,1.28
39,-550.407470703125,1.32
40,-531.3032836914062,1.35
41,-478.01641845703125,1.38
42,-428.785888671875,1.42
43,-364.7425231933594,1.45
44,-316.1934509277344,1.48
45,-260.46636962890625,1.52
46,-214.70651245117188,1.55
47,-169.6153106689453,1.58
48,-130.70706176757812,1.61
49,-96.05218505859375,1.65
50,-68.09083557128906,1.68
51,-42.03948211669922,1.71
52,-21.998855590820312,1.74
53,-8.829124450683594,1.78
54,2.33697509765625,1.81
55,10.555839538574219,1.84
56,13.9642333984375,1.88
57,16.672454833984375,1.91
58,17.359046936035156,1.94
59,17.915000915527344,1.97
60,18.488128662109375,2.01
61,17.327735900878906,2.04
62,17.648414611816406,2.07
63,18.298751831054688,2.1
64,17.573585510253906,2.13
65,17.750961303710938,2.17
66,17.71855926513672,2.2
67,17.684951782226562,2.23
68,18.197738647460938,2.27
69,17.836349487304688,2.3
70,18.098861694335938,2.34
71,18.12078857421875,2.37
72,18.274063110351562,2.4
73,17.07530975341797,2.43
74,18.176803588867188,2.47
75,17.68793487548828,2.51
76,17.704788208007812,2.54
77,17.91461181640625,2.57
78,17.89466094970703,2.6
79,18.34637451171875,2.64
80,18.533950805664062,2.67
81,16.88971710205078,2.7
82,17.552169799804688,2.73
83,17.927093505859375,2.76
84,17.879371643066406,2.8
85,18.152191162109375,2.83
86,17.66022491455078,2.86
87,17.763259887695312,2.89
88,18.033592224121094,2.92
89,17.41075897216797,2.95
90,18.262245178222656,2.99
91,17.5325927734375,3.02
92,17.796463012695312,3.05
93,17.769073486328125,3.08
94,17.64551544189453,3.11
95,18.065399169921875,3.14
96,17.25531005859375,3.18
97,17.247695922851562,3.21
98,18.018508911132812,3.24
99,17.11174774169922,3.27
100,17.445899963378906,3.3
101,17.17322540283203,3.34
102,17.52892303466797,3.37
103,17.156158447265625,3.4
104,17.52184295654297,3.43
105,16.94853973388672,3.46
106,17.08935546875,3.5
107,17.56792449951172,3.53
108,17.368865966796875,3.56
109,17.339248657226562,3.59
110,17.127426147460938,3.62
111,17.006813049316406,3.66
112,17.382797241210938,3.69
113,16.905738830566406,3.72
114,16.64916229248047,3.75
115,17.179603576660156,3.78
116,16.70880126953125,3.81
117,17.66442108154297,3.85
118,17.21550750732422,3.88
119,16.91364288330078,3.91
120,16.910812377929688,3.94
121,16.82630157470703,3.97
122,16.726547241210938,4.0
123,17.178504943847656,4.04
124,17.039321899414062,4.07
125,16.584243774414062,4.1
126,16.823562622070312,4.13
127,16.450576782226562,4.16
128,16.611740112304688,4.2
129,16.891456604003906,4.23
130,16.383941650390625,4.26
131,17.150367736816406,4.29
132,16.511497497558594,4.32
133,16.780746459960938,4.36
134,16.54450225830078,4.39
135,16.667388916015625,4.42
136,16.876068115234375,4.45
137,16.2576904296875,4.48
138,16.912063598632812,4.52
139,16.952346801757812,4.55
140,16.3536376953125,4.58
141,16.531784057617188,4.61
142,16.111740112304688,4.64
143,16.228553771972656,4.68
144,15.993484497070312,4.71
145,16.05010223388672,4.74
146,16.170928955078125,4.77
147,16.216018676757812,4.8
148,16.87842559814453,4.83
149,16.642318725585938,4.87
150,16.731643676757812,4.9
151,16.556190490722656,4.93
152,16.814743041992188,4.96
153,16.17491912841797,4.99
154,16.257217407226562,5.02
155,16.604782104492188,5.06
156,16.28968048095703,5.09
157,16.644775390625,5.12
158,16.189682006835938,5.15
159,16.501251220703125,5.18
160,16.31529998779297,5.22
161,16.175315856933594,5.25
162,16.14502716064453,5.28
163,16.23297119140625,5.31
164,16.249916076660156,5.35
165,16.014747619628906,5.38
166,16.239227294921875,5.41
167,16.298744201660156,5.44
168,16.30645751953125,5.47
169,15.996185302734375,5.5
170,16.319496154785156,5.54
171,16.189476013183594,5.57
172,16.298606872558594,5.6
173,16.462631225585938,5.63
174,16.273170471191406,5.66
175,16.43877410888672,5.7
176,15.939765930175781,5.73
177,16.176666259765625,5.76
178,15.913665771484375,5.79
179,16.16028594970703,5.82
180,16.41064453125,5.85
181,15.752670288085938,5.89
182,15.937263488769531,5.92
183,16.221092224121094,5.95
184,16.700714111328125,5.98
185,15.900131225585938,6.01
186,16.097434997558594,6.04
187,15.817741394042969,6.08
188,15.734275817871094,6.11
189,15.961036682128906,6.14
190,15.733009338378906,6.17
191,15.886268615722656,6.2
192,15.948707580566406,6.24
193,15.916915893554688,6.27
194,16.18689727783203,6.3
195,15.757957458496094,6.33
196,16.274032592773438,6.36
197,16.125038146972656,6.4
198,16.303367614746094,6.43
199,15.960258483886719,6.46
200,15.66119384765625,6.49
201,15.979652404785156,6.52
202,16.139633178710938,6.55
203,15.702049255371094,6.59
204,15.722869873046875,6.62
205,16.288299560546875,6.65
206,16.238082885742188,6.68
207,15.795318603515625,6.71
208,15.997833251953125,6.74
209,15.789505004882812,6.78
210,16.060516357421875,6.81
211,16.106216430664062,6.84
212,15.7967529296875,6.87
213,15.823173522949219,6.9
214,16.30138397216797,6.93
215,16.46118927001953,6.97
216,16.24755096435547,7.0
217,16.334808349609375,7.03
218,16.33635711669922,7.06
219,16.155197143554688,7.09
220,15.749740600585938,7.13
221,16.113235473632812,7.16
222,16.087371826171875,7.19
223,16.586448669433594,7.22
224,16.038848876953125,7.25
225,16.27257537841797,7.29
226,15.760581970214844,7.32
227,15.841300964355469,7.35
228,16.127601623535156,7.38
229,15.685592651367188,7.41
230,15.87249755859375,7.44
231,16.016197204589844,7.48
232,16.10686492919922,7.51
233,16.242446899414062,7.54
234,16.0528564453125,7.57
235,15.606719970703125,7.6
236,15.512985229492188,7.64
