iter,f_loss,elapsed_sec
0,11.842240333557129,0.05
1,3.029313564300537,0.06
2,3.2960352897644043,0.07
3,3.4079527854919434,0.08
4,4.251255989074707,0.09
5,4.6898603439331055,0.1
6,4.903484344482422,0.11
7,5.092442989349365,0.12
8,4.6593732833862305,0.13
9,4.498712062835693,0.14
10,4.3575334548950195,0.15
11,4.126992702484131,0.15
12,4.031993389129639,0.16
13,3.9151570796966553,0.17
14,3.9845502376556396,0.18
15,3.780150890350342,0.18
16,3.8772835731506348,0.19
17,3.8021562099456787,0.2
18,3.786616802215576,0.21
19,3.7035233974456787,0.22
20,3.7760772705078125,0.22
21,3.6365156173706055,0.23
22,3.7103066444396973,0.24
23,3.720684766769409,0.25
24,3.6026978492736816,0.25
25,3.6380486488342285,0.26
26,3.5467870235443115,0.27
27,3.587649345397949,0.28
28,3.6051652431488037,0.29
29,3.582561492919922,0.29
30,3.5157389640808105,0.3
31,3.549400806427002,0.31
32,3.511129140853882,0.32
33,3.535598039627075,0.32
34,3.453584671020508,0.33
35,3.4458751678466797,0.34
36,3.5090928077697754,0.35
37,3.4033002853393555,0.36
38,3.4597525596618652,0.36
39,3.6548945903778076,0.37
40,3.549098014831543,0.38
41,3.444829225540161,0.39
42,3.457998275756836,0.39
43,3.4538912773132324,0.4
44,3.4064645767211914,0.41
45,3.402440071105957,0.42
46,3.3850815296173096,0.43
47,3.4746408462524414,0.43
48,3.375305652618408,0.44
49,3.4380569458007812,0.45
50,3.3598742485046387,0.46
51,3.2297680377960205,0.47
52,3.4046738147735596,0.47
53,3.5888538360595703,0.48
54,3.289163112640381,0.5
55,3.294762372970581,0.51
56,3.4719760417938232,0.52
57,3.4264235496520996,0.53
58,3.506420612335205,0.54
59,3.3264176845550537,0.55
60,3.287299156188965,0.56
61,3.399447202682495,0.56
62,3.2718873023986816,0.57
63,3.4093093872070312,0.58
64,3.4478371143341064,0.59
65,3.4661078453063965,0.6
66,3.3553285598754883,0.6
67,3.3819196224212646,0.61
68,3.3742339611053467,0.62
69,3.4310874938964844,0.63
70,3.340390682220459,0.64
71,3.4465081691741943,0.65
72,3.3287148475646973,0.65
73,3.5241198539733887,0.66
74,3.2265572547912598,0.67
75,3.346362590789795,0.68
76,3.4532790184020996,0.68
77,3.3919801712036133,0.69
78,3.2329108715057373,0.7
79,3.403594732284546,0.71
80,3.669954299926758,0.71
81,3.465219497680664,0.72
82,3.2385263442993164,0.73
83,3.292154312133789,0.74
84,3.2678914070129395,0.75
85,3.2947168350219727,0.75
86,3.3028182983398438,0.76
87,3.3796463012695312,0.77
88,3.485198974609375,0.78
89,3.26511812210083,0.78
90,3.4941601753234863,0.79
91,3.3287861347198486,0.8
92,3.1949996948242188,0.81
93,3.2889537811279297,0.81
94,3.3256707191467285,0.82
95,3.2680130004882812,0.83
96,3.3544704914093018,0.84
97,3.3660755157470703,0.85
98,3.25205659866333,0.85
99,3.1765880584716797,0.86
100,3.323333263397217,0.87
101,3.3015308380126953,0.88
102,3.391314744949341,0.88
103,3.433084011077881,0.89
104,3.4778144359588623,0.9
105,3.346855878829956,0.91
106,3.30507230758667,0.92
107,3.3305773735046387,0.92
108,3.3914544582366943,0.93
109,3.3645060062408447,0.94
110,3.302947521209717,0.95
111,3.4278781414031982,0.96
112,3.242670774459839,0.96
113,3.2318291664123535,0.97
114,3.3162660598754883,0.98
115,3.359950542449951,0.99
116,3.426837205886841,0.99
117,3.252190113067627,1.0
118,3.330111503601074,1.01
119,3.3656961917877197,1.02
120,3.342103958129883,1.03
121,3.375333070755005,1.03
122,3.3743088245391846,1.04
123,3.276583671569824,1.05
124,3.3211631774902344,1.06
125,3.334061622619629,1.06
126,3.352515697479248,1.07
127,3.4535889625549316,1.08
128,3.239501714706421,1.09
129,3.2649569511413574,1.1
130,3.3751299381256104,1.1
131,3.3810150623321533,1.11
132,3.25403094291687,1.12
133,3.3408122062683105,1.13
134,3.2028145790100098,1.13
135,3.3841910362243652,1.14
136,3.2873458862304688,1.15
137,3.231717586517334,1.16
138,3.307152509689331,1.17
139,3.277714252471924,1.17
140,3.2244510650634766,1.18
141,3.371776580810547,1.19
142,3.3469691276550293,1.2
143,3.1715755462646484,1.2
144,3.1800789833068848,1.21
145,3.366863965988159,1.22
146,3.284543514251709,1.23
147,3.1874070167541504,1.24
148,3.149251937866211,1.24
149,3.2228918075561523,1.25
150,3.0919666290283203,1.26
151,3.410679817199707,1.27
152,3.442319869995117,1.28
153,3.3152823448181152,1.28
154,3.295670747756958,1.29
155,3.3129916191101074,1.3
156,3.3407399654388428,1.31
157,3.3177053928375244,1.31
158,3.4318606853485107,1.32
159,3.2095203399658203,1.33
160,3.299773693084717,1.34
161,3.214365243911743,1.34
162,3.312877893447876,1.35
163,3.2960195541381836,1.36
164,3.327962875366211,1.37
165,3.247304916381836,1.38
166,3.5020413398742676,1.38
167,3.3238234519958496,1.39
168,3.3039517402648926,1.4
169,3.3218002319335938,1.41
170,3.3712692260742188,1.41
171,3.3216793537139893,1.42
172,3.254240036010742,1.43
173,3.4085402488708496,1.44
174,3.251589775085449,1.44
175,3.3057985305786133,1.45
176,3.3050084114074707,1.46
177,3.229120969772339,1.47
178,3.366725444793701,1.48
179,3.289360761642456,1.49
180,3.2785749435424805,1.5
181,3.3555092811584473,1.5
182,3.200075626373291,1.51
183,3.367929697036743,1.52
184,3.294313907623291,1.53
185,3.2941694259643555,1.54
186,3.3374996185302734,1.54
187,3.316850185394287,1.55
188,3.201380729675293,1.56
189,3.284194231033325,1.57
190,3.375577449798584,1.57
191,3.2652089595794678,1.58
192,3.3420372009277344,1.59
193,3.2550392150878906,1.6
194,3.271705150604248,1.6
195,3.352829933166504,1.61
196,3.396244525909424,1.62
197,3.3082468509674072,1.63
198,3.280522346496582,1.63
199,3.4093427658081055,1.64
200,3.3808798789978027,1.65
201,3.3900275230407715,1.66
202,3.3471245765686035,1.67
203,3.2691006660461426,1.67
204,3.194143772125244,1.68
