iter,f_loss,elapsed_sec
0,10.889249801635742,0.06
1,-0.6708574295043945,0.07
2,0.1369009017944336,0.08
3,0.959129810333252,0.09
4,1.7557954788208008,0.1
5,2.3352322578430176,0.11
6,2.605584144592285,0.13
7,2.6554384231567383,0.16
8,2.337292194366455,0.18
9,2.5961098670959473,0.2
10,2.5605716705322266,0.21
11,2.637388229370117,0.22
12,2.458874225616455,0.23
13,2.3939332962036133,0.24
14,2.275667190551758,0.25
15,2.4139065742492676,0.26
16,2.306100368499756,0.27
17,2.1083617210388184,0.28
18,2.0544471740722656,0.29
19,2.278179883956909,0.3
20,2.1512556076049805,0.31
21,2.2191338539123535,0.32
22,2.349378824234009,0.33
23,2.2113170623779297,0.34
24,2.369135856628418,0.35
25,2.146131753921509,0.36
26,2.217214345932007,0.36
27,2.12518310546875,0.37
28,2.148132801055908,0.38
29,2.251422882080078,0.39
30,2.1899349689483643,0.4
31,2.2699832916259766,0.41
32,2.2128663063049316,0.42
33,2.2395524978637695,0.42
34,2.148193359375,0.43
35,2.212266445159912,0.44
36,2.1906070709228516,0.45
37,2.206662178039551,0.46
38,2.2926673889160156,0.47
39,2.3160009384155273,0.48
40,2.2964210510253906,0.49
41,2.199517250061035,0.5
42,2.1948904991149902,0.51
43,2.100928783416748,0.52
44,2.1615331172943115,0.53
45,2.148228883743286,0.53
46,2.203469753265381,0.54
47,2.236579656600952,0.55
48,2.1314780712127686,0.56
49,2.09310245513916,0.57
50,2.0803401470184326,0.58
51,2.2710108757019043,0.59
52,2.1884570121765137,0.6
53,2.125767230987549,0.6
54,2.1817545890808105,0.61
55,2.151824951171875,0.62
56,2.201555013656616,0.63
57,2.0400843620300293,0.64
58,2.180875301361084,0.64
59,2.192305088043213,0.65
60,2.15792179107666,0.66
61,2.159449577331543,0.67
62,2.1633191108703613,0.68
63,2.1423187255859375,0.69
64,2.207010507583618,0.7
65,2.1606557369232178,0.7
66,2.1345677375793457,0.71
67,2.1154839992523193,0.72
68,2.1035211086273193,0.73
69,2.1615066528320312,0.74
70,2.100707530975342,0.75
71,2.109647750854492,0.76
72,1.9720728397369385,0.76
73,2.1475672721862793,0.77
74,2.1721556186676025,0.78
75,2.1937365531921387,0.79
76,2.2288124561309814,0.8
77,2.2016825675964355,0.81
78,2.0424516201019287,0.82
79,2.0709104537963867,0.82
80,2.0661497116088867,0.83
81,2.1795239448547363,0.84
82,2.1337432861328125,0.85
83,2.1789770126342773,0.86
84,2.1756463050842285,0.87
85,2.0889837741851807,0.88
86,2.058816909790039,0.88
87,2.2303104400634766,0.89
88,2.0835161209106445,0.9
89,2.1105270385742188,0.91
90,2.193696975708008,0.92
91,2.006809949874878,0.93
92,2.1077828407287598,0.95
93,2.067471742630005,0.95
94,2.0655105113983154,0.96
95,2.1000471115112305,0.97
96,2.006356716156006,0.98
97,2.0639572143554688,0.99
98,2.1038570404052734,1.0
99,2.1266238689422607,1.01
100,2.1562881469726562,1.01
101,2.2097671031951904,1.02
102,2.1349682807922363,1.03
103,2.018075942993164,1.04
104,2.1248180866241455,1.05
105,2.0628180503845215,1.06
106,2.0970170497894287,1.07
107,2.2511091232299805,1.07
108,2.18186616897583,1.08
109,2.135668992996216,1.09
110,2.0529627799987793,1.1
111,2.1144487857818604,1.11
112,2.0845983028411865,1.12
113,2.1601247787475586,1.13
114,2.0684752464294434,1.14
115,2.1658682823181152,1.15
116,2.1212000846862793,1.16
117,2.1079487800598145,1.16
118,2.2205824851989746,1.17
119,2.1222569942474365,1.18
120,2.079962730407715,1.19
121,2.094308614730835,1.2
122,1.9445769786834717,1.21
123,2.087535858154297,1.21
124,2.2631309032440186,1.22
125,2.1167125701904297,1.23
126,2.1074554920196533,1.24
127,2.2106103897094727,1.25
128,2.138261318206787,1.26
129,2.1410365104675293,1.27
130,2.15383243560791,1.27
131,2.0346078872680664,1.28
132,1.9510860443115234,1.29
133,2.1578316688537598,1.3
134,1.999629020690918,1.31
135,2.0335330963134766,1.31
136,2.165109157562256,1.32
137,2.1047234535217285,1.33
138,2.0454914569854736,1.34
139,1.9250450134277344,1.35
140,2.0339412689208984,1.36
141,2.1909914016723633,1.36
142,2.0371170043945312,1.37
143,2.2331085205078125,1.38
144,2.0456085205078125,1.39
145,2.0653364658355713,1.4
146,2.107982635498047,1.41
147,2.126748561859131,1.42
148,2.1107866764068604,1.43
149,1.9697299003601074,1.44
150,2.0382511615753174,1.45
151,2.099897861480713,1.46
152,2.1534996032714844,1.46
153,2.1079187393188477,1.47
154,1.9302902221679688,1.48
155,2.044295310974121,1.49
156,2.170658826828003,1.5
157,2.0785276889801025,1.51
158,2.030541181564331,1.51
159,1.958604335784912,1.52
160,2.1628308296203613,1.53
161,2.1008710861206055,1.54
162,1.9777188301086426,1.55
163,2.0221428871154785,1.56
164,2.1241941452026367,1.56
165,2.05079984664917,1.57
166,2.1008591651916504,1.58
167,2.1395492553710938,1.59
168,2.061337471008301,1.6
169,2.1538939476013184,1.61
170,2.127387285232544,1.61
171,2.142789363861084,1.62
172,1.9901299476623535,1.63
173,2.100339412689209,1.64
174,2.085758924484253,1.65
175,2.1825008392333984,1.66
176,2.102419137954712,1.66
177,2.097330093383789,1.67
178,2.164175271987915,1.68
179,2.0234932899475098,1.69
180,1.9327471256256104,1.7
181,2.1113240718841553,1.71
182,2.013770580291748,1.71
183,2.1243491172790527,1.72
184,2.180601119995117,1.73
185,2.102889060974121,1.74
186,2.0430407524108887,1.75
187,2.0279436111450195,1.75
188,2.127277374267578,1.76
189,2.03781795501709,1.77
190,2.113510847091675,1.78
191,2.026764392852783,1.79
192,2.022437572479248,1.8
193,2.1224260330200195,1.8
194,1.9886465072631836,1.81
195,2.178229331970215,1.82
196,2.0263009071350098,1.83
197,2.0961432456970215,1.84
198,2.131577491760254,1.85
199,2.0648441314697266,1.85
200,2.152102470397949,1.86
201,2.090395450592041,1.87
202,2.113633394241333,1.88
203,2.1373138427734375,1.89
204,1.958404541015625,1.9
205,2.1361944675445557,1.91
206,1.9587900638580322,1.91
207,2.0552351474761963,1.92
208,2.001255989074707,1.93
209,2.0786783695220947,1.94
210,2.0683064460754395,1.95
211,2.073941469192505,1.96
212,1.989358901977539,1.96
213,2.0471487045288086,1.97
214,2.0342156887054443,1.98
215,1.9913842678070068,1.99
216,2.0447404384613037,2.0
217,2.185889720916748,2.01
218,2.08937931060791,2.02
219,2.1163134574890137,2.02
220,2.0175182819366455,2.03
221,2.0993425846099854,2.04
222,2.0174903869628906,2.05
223,2.092190980911255,2.06
224,2.108163595199585,2.07
225,2.095341205596924,2.07
226,2.0724496841430664,2.08
227,1.9598932266235352,2.09
228,2.0663607120513916,2.1
229,2.1003119945526123,2.11
230,2.10074520111084,2.12
231,2.144791841506958,2.13
232,2.102755546569824,2.14
233,2.0998666286468506,2.14
234,2.009509801864624,2.15
235,2.0447919368743896,2.16
236,2.0968825817108154,2.17
237,2.175290822982788,2.18
238,2.0907959938049316,2.19
239,2.092771291732788,2.19
240,2.059389591217041,2.2
241,1.9882616996765137,2.21
242,2.0374104976654053,2.22
243,2.049483060836792,2.23
244,2.137749195098877,2.23
245,1.9093546867370605,2.24
246,2.0564191341400146,2.25
247,2.2556264400482178,2.26
248,2.035672426223755,2.27
249,2.227269172668457,2.28
250,2.127920389175415,2.28
251,2.0496175289154053,2.29
252,2.0511913299560547,2.3
253,1.9910798072814941,2.31
254,2.1440882682800293,2.32
255,2.1275367736816406,2.33
256,1.9915242195129395,2.33
257,2.0724358558654785,2.34
258,2.137620449066162,2.35
259,2.056325912475586,2.36
260,2.202371597290039,2.37
261,2.116140365600586,2.38
262,2.189866065979004,2.38
263,2.014260768890381,2.39
264,2.1508426666259766,2.4
265,2.087181806564331,2.41
266,2.0720372200012207,2.42
267,2.092294216156006,2.43
268,1.9490220546722412,2.43
269,2.1134305000305176,2.44
270,1.970085859298706,2.45
271,2.0226433277130127,2.46
272,2.009060859680176,2.47
273,2.0680363178253174,2.47
274,2.11814546585083,2.48
275,2.1044952869415283,2.49
276,2.0915257930755615,2.5
277,2.1137802600860596,2.51
278,2.09145450592041,2.52
279,2.222914695739746,2.52
280,2.075033664703369,2.53
281,2.06402325630188,2.54
282,2.1165802478790283,2.55
283,2.0028717517852783,2.56
284,2.050022602081299,2.57
285,2.0833427906036377,2.57
286,1.990232229232788,2.58
287,2.0810909271240234,2.59
288,2.043421745300293,2.6
289,2.0339882373809814,2.61
290,2.025603771209717,2.62
291,2.056922197341919,2.62
292,2.101562976837158,2.63
293,2.0521252155303955,2.64
294,1.9719820022583008,2.65
295,2.0351343154907227,2.66
296,1.9536843299865723,2.67
297,2.1246120929718018,2.67
298,2.1534175872802734,2.68
299,2.1239752769470215,2.69
300,2.047553062438965,2.7
301,2.054067850112915,2.71
302,2.2606217861175537,2.72
303,2.0415847301483154,2.72
304,2.0628693103790283,2.73
305,1.9850375652313232,2.74
306,2.013814687728882,2.75
307,2.0735816955566406,2.76
308,2.044191360473633,2.77
309,2.0880250930786133,2.77
310,2.1021904945373535,2.78
311,2.1317594051361084,2.79
312,2.2971410751342773,2.8
313,1.8940539360046387,2.81
314,2.286062479019165,2.82
315,1.9783706665039062,2.82
316,2.145754337310791,2.83
317,2.122936725616455,2.84
318,2.1928281784057617,2.85
319,2.0236315727233887,2.86
320,2.155221939086914,2.86
321,2.0342838764190674,2.87
322,2.119372844696045,2.88
323,2.017047643661499,2.89
324,2.074673891067505,2.9
325,2.11757493019104,2.9
326,2.110653877258301,2.91
327,2.019829750061035,2.92
328,1.9745237827301025,2.93
329,2.1593289375305176,2.94
330,2.0835604667663574,2.95
331,2.043734550476074,2.95
332,2.1642494201660156,2.96
333,2.055715560913086,2.97
334,2.0127811431884766,2.98
335,1.9862666130065918,2.99
336,2.1536028385162354,2.99
337,2.0294687747955322,3.0
338,2.0223686695098877,3.01
339,2.030348777770996,3.02
340,2.015287399291992,3.03
341,2.127758026123047,3.04
342,1.900580883026123,3.04
343,2.094949245452881,3.05
344,2.1547939777374268,3.06
345,1.9912786483764648,3.07
346,2.0600950717926025,3.08
347,2.074923038482666,3.08
348,2.1994504928588867,3.09
349,2.2000465393066406,3.1
350,2.106576442718506,3.11
351,2.110975980758667,3.12
352,2.008002758026123,3.13
