iter,f_loss,elapsed_sec
0,3.2965712547302246,0.07
1,3.298520565032959,0.13
2,5.323565483093262,0.17
3,6.429054260253906,0.23
4,7.426214218139648,0.29
5,7.443525314331055,0.35
6,5.9178924560546875,0.4
7,6.072942733764648,0.47
8,4.828760147094727,0.54
9,4.630051612854004,0.6
10,4.277538299560547,0.67
11,3.766674041748047,0.74
12,3.9063491821289062,0.8
13,3.6335525512695312,0.85
14,3.3829355239868164,0.9
15,3.49862003326416,0.96
16,3.1996822357177734,1.02
17,3.0386362075805664,1.08
18,2.9886245727539062,1.13
19,3.0871219635009766,1.2
20,2.843963623046875,1.26
21,2.808086395263672,1.33
22,2.933603286743164,1.39
23,2.654949188232422,1.45
24,2.7925281524658203,1.51
25,2.640230178833008,1.56
26,2.6305274963378906,1.62
27,2.6518611907958984,1.67
28,2.654582977294922,1.73
29,2.6325626373291016,1.78
30,2.431459426879883,1.83
31,2.4473838806152344,1.89
32,2.4662609100341797,1.95
33,2.3989505767822266,2.0
34,2.4156646728515625,2.06
35,2.439504623413086,2.12
36,2.4813575744628906,2.17
37,2.5355777740478516,2.22
38,2.438669204711914,2.28
39,2.411367416381836,2.34
40,2.3567733764648438,2.39
41,2.374113082885742,2.47
42,2.2823657989501953,2.56
43,2.3249034881591797,2.63
44,2.256711959838867,2.68
45,2.3635177612304688,2.74
46,2.261974334716797,2.79
47,2.405733108520508,2.84
48,2.284534454345703,2.89
49,2.316761016845703,2.94
50,2.3552989959716797,3.0
51,2.326404571533203,3.05
52,2.4461898803710938,3.11
53,2.4186553955078125,3.16
54,2.2082862854003906,3.22
55,2.327545166015625,3.27
56,2.3274917602539062,3.33
57,2.3683223724365234,3.39
58,2.373208999633789,3.44
59,2.0905017852783203,3.5
60,2.3307113647460938,3.55
61,2.3865089416503906,3.61
62,2.3823471069335938,3.66
63,2.369861602783203,3.72
64,2.3708953857421875,3.77
65,2.307394027709961,3.83
66,2.289693832397461,3.89
67,2.190298080444336,3.94
68,2.200714111328125,3.99
69,2.211496353149414,4.05
70,2.337778091430664,4.11
71,2.2464752197265625,4.16
72,2.325031280517578,4.22
73,2.340669631958008,4.27
74,2.2123489379882812,4.33
75,2.389934539794922,4.38
76,2.3366737365722656,4.44
77,2.2757606506347656,4.49
78,2.3188629150390625,4.55
79,2.2181015014648438,4.61
80,2.254549026489258,4.66
81,2.1902332305908203,4.72
82,2.138530731201172,4.77
83,2.233318328857422,4.82
84,2.262012481689453,4.88
85,2.4286441802978516,4.93
86,2.332439422607422,4.99
87,2.2252769470214844,5.04
88,2.3526973724365234,5.1
