iter,f_loss,elapsed_sec
0,1.3543815612792969,0.03
1,1.8733506202697754,0.06
2,2.9865241050720215,0.1
3,3.481013298034668,0.13
4,4.140530109405518,0.16
5,3.736077308654785,0.19
6,3.36826229095459,0.22
7,3.686385154724121,0.27
8,2.7833919525146484,0.32
9,3.029141426086426,0.36
10,2.369748115539551,0.4
11,2.43186092376709,0.44
12,2.3188295364379883,0.48
13,2.1567068099975586,0.51
14,2.206671714782715,0.54
15,2.0313758850097656,0.57
16,2.1407785415649414,0.61
17,2.259152412414551,0.64
18,2.3070526123046875,0.67
19,1.9697837829589844,0.7
20,2.1153974533081055,0.73
21,2.042017936706543,0.76
22,2.1458702087402344,0.79
23,1.995950698852539,0.83
24,1.7514991760253906,0.86
25,2.114137649536133,0.89
26,2.0883426666259766,0.92
27,2.145153045654297,0.95
28,2.010313034057617,0.98
29,1.895009994506836,1.01
30,1.9915695190429688,1.05
31,1.9216785430908203,1.1
32,1.8656864166259766,1.13
33,1.8142051696777344,1.16
34,1.880727767944336,1.19
35,2.040678024291992,1.22
36,1.9565811157226562,1.25
37,2.1583175659179688,1.29
38,2.0626983642578125,1.32
39,2.0488643646240234,1.35
40,1.8885345458984375,1.38
41,2.1537742614746094,1.41
42,1.933725357055664,1.44
43,1.9203414916992188,1.47
44,1.9926319122314453,1.5
45,1.9180126190185547,1.54
46,2.1255226135253906,1.58
47,2.0039424896240234,1.62
48,2.0518531799316406,1.65
49,2.078428268432617,1.68
50,2.2173290252685547,1.71
51,1.9940547943115234,1.75
52,2.141672134399414,1.78
53,2.2167434692382812,1.81
54,2.0300045013427734,1.84
55,2.1680545806884766,1.87
56,2.1843433380126953,1.9
57,2.2990798950195312,1.94
58,1.9962291717529297,1.97
59,2.1292572021484375,2.03
60,2.0710697174072266,2.09
61,2.1182174682617188,2.12
62,2.1165332794189453,2.15
63,2.027851104736328,2.19
64,1.9560928344726562,2.23
65,2.0105133056640625,2.26
66,2.0243167877197266,2.29
67,1.982961654663086,2.32
68,2.0948143005371094,2.36
69,1.9783878326416016,2.39
70,1.964120864868164,2.42
71,2.0686683654785156,2.45
72,1.9953556060791016,2.48
73,2.0497474670410156,2.51
74,2.0978164672851562,2.54
75,1.9228839874267578,2.57
76,2.050384521484375,2.61
77,2.019620895385742,2.64
78,2.2859535217285156,2.67
79,2.007966995239258,2.7
80,1.9240474700927734,2.73
81,2.0845985412597656,2.77
82,1.8910064697265625,2.8
83,1.959634780883789,2.83
84,2.1590538024902344,2.86
85,1.8800888061523438,2.89
86,2.259481430053711,2.92
87,2.188945770263672,2.95
88,1.86468505859375,2.98
89,1.9550724029541016,3.02
90,1.965353012084961,3.05
91,2.069091796875,3.08
92,2.0609378814697266,3.11
93,2.103792190551758,3.14
94,2.007669448852539,3.17
95,2.0616607666015625,3.2
96,1.9768218994140625,3.24
97,2.1403865814208984,3.27
98,2.059478759765625,3.3
99,2.3085098266601562,3.33
100,2.0546817779541016,3.36
101,1.9237861633300781,3.39
102,1.9397354125976562,3.42
103,1.992116928100586,3.45
104,2.0986804962158203,3.49
105,2.1227455139160156,3.52
106,2.0126724243164062,3.55
107,2.045177459716797,3.58
108,2.0597667694091797,3.61
109,2.069204330444336,3.64
110,1.9853630065917969,3.67
111,2.221874237060547,3.7
112,2.023540496826172,3.74
113,1.9850749969482422,3.77
114,2.143434524536133,3.8
115,2.0112438201904297,3.83
116,1.99237060546875,3.86
117,2.005369186401367,3.89
118,2.1812496185302734,3.92
119,2.016969680786133,3.96
120,1.9445724487304688,3.99
121,1.9856204986572266,4.02
122,2.0065536499023438,4.05
123,1.867095947265625,4.08
124,2.1661739349365234,4.11
125,2.0927276611328125,4.14
126,2.038311004638672,4.18
127,2.0527496337890625,4.21
128,2.007364273071289,4.24
129,2.2275238037109375,4.27
130,2.0181427001953125,4.3
131,1.9128551483154297,4.33
132,1.96649169921875,4.36
133,2.058218002319336,4.39
134,2.028127670288086,4.43
135,2.2253665924072266,4.46
136,2.012338638305664,4.49
137,1.9949874877929688,4.52
138,1.9394302368164062,4.55
139,1.8881702423095703,4.58
140,2.26666259765625,4.61
141,1.9478321075439453,4.65
142,1.9369564056396484,4.68
143,2.1249561309814453,4.71
144,2.0319442749023438,4.74
145,2.2667770385742188,4.77
146,1.9859447479248047,4.8
147,2.0574417114257812,4.84
148,1.9566116333007812,4.87
149,2.097047805786133,4.9
150,1.903646469116211,4.93
151,2.146078109741211,4.96
152,2.1327056884765625,4.99
153,2.103120803833008,5.02
154,1.9768714904785156,5.06
155,2.061063766479492,5.09
156,1.9893379211425781,5.12
157,2.000974655151367,5.15
158,1.9800529479980469,5.18
159,2.0441932678222656,5.21
160,1.9790191650390625,5.25
161,2.084819793701172,5.28
162,1.8587150573730469,5.31
163,1.8904972076416016,5.34
164,2.069826126098633,5.38
165,2.021120071411133,5.41
166,2.0560569763183594,5.44
167,2.1054000854492188,5.47
168,1.9682674407958984,5.5
169,2.072498321533203,5.53
170,2.1498565673828125,5.56
171,1.905691146850586,5.6
172,1.9294853210449219,5.63
173,2.0143775939941406,5.66
174,2.0194473266601562,5.69
175,2.0288619995117188,5.72
176,1.972055435180664,5.75
177,1.8108100891113281,5.79
178,2.0144920349121094,5.82
179,1.9435672760009766,5.85
180,1.9805183410644531,5.88
181,1.988311767578125,5.91
182,1.9381637573242188,5.94
183,1.8225440979003906,5.97
184,2.1736679077148438,6.01
185,1.9507427215576172,6.04
186,2.0164318084716797,6.07
187,2.0848464965820312,6.1
188,1.818002700805664,6.13
189,2.0205841064453125,6.16
190,1.9486026763916016,6.19
191,2.1371078491210938,6.23
192,2.019275665283203,6.26
193,2.120595932006836,6.29
194,1.9404621124267578,6.32
195,1.9716796875,6.35
196,1.9889030456542969,6.38
197,2.1116886138916016,6.42
198,1.9316692352294922,6.45
199,2.0335159301757812,6.48
200,2.1290931701660156,6.51
201,1.7817668914794922,6.54
202,1.8966922760009766,6.57
203,2.176300048828125,6.6
204,1.9269828796386719,6.63
205,2.037904739379883,6.67
206,2.011629104614258,6.7
207,1.9412612915039062,6.73
208,2.033397674560547,6.76
209,2.0166854858398438,6.79
210,2.169200897216797,6.82
211,2.044025421142578,6.85
212,1.947500228881836,6.89
213,1.8101215362548828,6.92
214,2.022592544555664,6.95
215,2.11883544921875,6.98
216,1.9867057800292969,7.01
217,2.057832717895508,7.04
218,2.0272483825683594,7.07
219,2.0312767028808594,7.11
220,1.9031810760498047,7.14
221,2.0358142852783203,7.17
222,2.0265426635742188,7.2
223,1.980447769165039,7.23
224,2.0204925537109375,7.26
225,2.1726341247558594,7.3
226,2.1241607666015625,7.33
227,1.9292106628417969,7.36
228,2.025949478149414,7.39
229,2.0295791625976562,7.42
230,1.97467041015625,7.45
231,2.013885498046875,7.48
232,1.953775405883789,7.51
233,2.139352798461914,7.55
234,2.0928897857666016,7.58
235,1.9492855072021484,7.61
236,2.1140689849853516,7.64
237,2.086078643798828,7.67
238,1.872467041015625,7.7
239,2.1034393310546875,7.73
240,1.9329242706298828,7.77
241,2.078859329223633,7.8
242,2.108064651489258,7.83
243,2.1666641235351562,7.86
244,2.0810604095458984,7.89
245,2.0202293395996094,7.92
246,1.962127685546875,7.95
247,1.9206409454345703,7.99
248,2.130453109741211,8.02
249,2.0731773376464844,8.05
250,2.0594959259033203,8.08
251,2.0056228637695312,8.11
252,2.1365623474121094,8.14
253,2.061370849609375,8.18
254,1.9704437255859375,8.21
255,2.041961669921875,8.24
256,2.026792526245117,8.27
257,1.972036361694336,8.3
258,2.117992401123047,8.33
259,1.9665851593017578,8.36
260,2.065183639526367,8.39
261,2.012491226196289,8.43
262,2.0062217712402344,8.46
263,1.9426040649414062,8.49
264,2.0838050842285156,8.52
265,1.9163837432861328,8.55
266,2.0119400024414062,8.58
267,2.10040283203125,8.61
268,1.9685935974121094,8.65
269,2.1410465240478516,8.68
270,1.9370231628417969,8.71
271,2.0258750915527344,8.74
272,1.9840850830078125,8.77
273,2.009157180786133,8.8
274,2.1577205657958984,8.83
275,2.001943588256836,8.87
276,2.135801315307617,8.9
277,2.098400115966797,8.93
278,1.925607681274414,8.96
279,2.00323486328125,8.99
280,1.976400375366211,9.02
281,2.0249576568603516,9.06
282,2.0734176635742188,9.09
283,2.091205596923828,9.12
284,1.9897117614746094,9.15
285,1.9809513092041016,9.18
286,1.9292449951171875,9.21
287,2.0179615020751953,9.24
288,2.117280960083008,9.28
289,2.0430755615234375,9.31
290,2.049673080444336,9.34
291,1.9768199920654297,9.37
292,2.103008270263672,9.4
293,2.130281448364258,9.43
294,1.9740524291992188,9.46
295,1.8889579772949219,9.5
296,1.9063911437988281,9.53
297,2.112323760986328,9.56
298,2.0020408630371094,9.59
299,2.086252212524414,9.62
300,2.1375064849853516,9.65
301,2.190448760986328,9.68
302,1.9696216583251953,9.71
303,1.929443359375,9.75
304,1.9288692474365234,9.78
305,2.198087692260742,9.81
