experiment,final_loss,runtime_seconds,model_type,hidden_layers,hidden_width,learning_rate,activation,sample_count,dimension,distribution
baseline,2.048147201538086,18.1863,,,,,,,,
layers_2,1.8387699127197266,15.7959,,2,,,,,,
layers_3,2.048147201538086,24.0169,,3,,,,,,
layers_4,1.9027328491210938,31.9371,,4,,,,,,
layers_5,2.0033130645751953,39.8291,,5,,,,,,
width_64,2.048147201538086,23.9213,,,64,,,,,
width_128,1.9047069549560547,40.4605,,,128,,,,,
width_256,1.8957710266113281,71.3272,,,256,,,,,
width_512,2.0233154296875,75.6305,,,512,,,,,
lr_0.01,2.022667407989502,16.8541,,,,0.01,,,,
lr_0.001,2.048147201538086,16.3861,,,,0.001,,,,
lr_0.0001,2.0228500366210938,16.209,,,,0.0001,,,,
activation_relu,1.9937269687652588,9.0531,,,,,relu,,,
activation_leaky_relu,2.007716655731201,9.5715,,,,,leaky_relu,,,
activation_elu,2.0432376861572266,15.0039,,,,,elu,,,
mlp_baseline,2.048147201538086,16.322,mlp,,,,,,,
samples_500,1.996408462524414,16.0316,,,,,,500,,
samples_1000,2.0982284545898438,16.0411,,,,,,1000,,
samples_5000,1.9898719787597656,15.9872,,,,,,5000,,
samples_10000,2.0532569885253906,16.0098,,,,,,10000,,
dim_2,2.048147201538086,15.881,,,,,,,2,
dim_8,8.086799621582031,15.9494,,,,,,,8,
dim_16,15.903236389160156,16.2221,,,,,,,16,
dim_32,31.961105346679688,21.5577,,,,,,,32,
mixture,2.448406219482422,70.3903,,,,,,,,mixture
