iter,f_loss,elapsed_sec
0,1.6360100507736206,0.05
1,1.7981023788452148,0.1
2,2.7246155738830566,0.14
3,3.979328155517578,0.18
4,4.061487674713135,0.23
5,3.6112122535705566,0.28
6,3.1755247116088867,0.33
7,3.2409372329711914,0.39
8,2.741605758666992,0.48
9,2.9638023376464844,0.54
10,2.662686347961426,0.59
11,2.4093847274780273,0.64
12,2.2481813430786133,0.68
13,2.427816390991211,0.74
14,2.3057737350463867,0.79
15,2.2230758666992188,0.84
16,2.2699031829833984,0.89
17,2.350025177001953,0.94
18,2.1595516204833984,0.99
19,2.0683069229125977,1.04
20,2.1435184478759766,1.08
21,2.1693801879882812,1.13
22,1.9606990814208984,1.17
23,2.214975357055664,1.22
24,1.996866226196289,1.26
25,1.97503662109375,1.31
26,1.9729633331298828,1.36
27,2.1298141479492188,1.41
28,2.0206260681152344,1.46
29,1.971323013305664,1.51
30,2.1115379333496094,1.55
31,2.049938201904297,1.6
32,1.9299144744873047,1.64
33,2.0394973754882812,1.69
34,1.941720962524414,1.73
35,2.0489234924316406,1.78
36,2.0365123748779297,1.82
37,1.9855289459228516,1.87
38,2.0373096466064453,1.93
39,2.0907554626464844,1.98
40,2.1470985412597656,2.02
41,2.1370277404785156,2.06
42,1.8999881744384766,2.1
43,2.018289566040039,2.15
44,2.0019474029541016,2.19
45,1.9589462280273438,2.24
46,1.9602737426757812,2.28
47,1.9237003326416016,2.33
48,2.1324539184570312,2.37
49,2.082561492919922,2.42
50,1.8969974517822266,2.46
51,1.9546356201171875,2.51
52,2.0639190673828125,2.56
53,1.8779640197753906,2.6
54,1.9052143096923828,2.65
55,2.0295562744140625,2.69
56,2.0936317443847656,2.73
57,1.9256553649902344,2.79
58,1.9731063842773438,2.84
59,1.979879379272461,2.89
60,1.994659423828125,2.94
61,1.8327598571777344,2.99
62,1.9966964721679688,3.04
63,1.884969711303711,3.08
64,1.9834403991699219,3.13
65,1.9790477752685547,3.17
66,2.0451602935791016,3.22
67,1.9765701293945312,3.26
68,2.052837371826172,3.31
69,2.113140106201172,3.36
70,2.1671600341796875,3.4
71,1.9911613464355469,3.45
72,1.932332992553711,3.49
73,2.0730667114257812,3.54
74,1.96685791015625,3.59
75,2.0495529174804688,3.63
76,2.029325485229492,3.68
77,2.043802261352539,3.72
78,1.9670047760009766,3.77
79,1.9720516204833984,3.82
80,2.0273818969726562,3.86
81,1.9936485290527344,3.91
82,2.1014556884765625,3.96
83,2.1050472259521484,4.0
84,1.9757919311523438,4.05
85,2.0590858459472656,4.1
86,1.9198474884033203,4.14
87,1.938720703125,4.19
88,1.8868885040283203,4.23
89,2.1141319274902344,4.28
90,1.9531307220458984,4.33
91,1.85107421875,4.37
92,2.0253753662109375,4.42
93,2.0468807220458984,4.47
94,2.1376171112060547,4.52
95,2.0664844512939453,4.56
96,1.960906982421875,4.61
97,1.7651119232177734,4.65
98,2.011137008666992,4.7
99,2.024181365966797,4.77
100,2.0263729095458984,4.84
101,2.137958526611328,4.9
102,1.998992919921875,4.94
103,1.8995208740234375,4.98
104,2.0036239624023438,5.02
105,1.9509601593017578,5.07
106,2.111501693725586,5.11
107,1.9359359741210938,5.15
108,1.9327983856201172,5.2
109,2.0090789794921875,5.24
110,2.0719833374023438,5.29
111,1.9617729187011719,5.33
112,1.9646968841552734,5.37
113,2.0214996337890625,5.42
114,1.86663818359375,5.47
115,1.9774093627929688,5.51
116,1.932302474975586,5.56
117,1.987813949584961,5.6
118,2.024198532104492,5.65
119,2.075428009033203,5.7
120,1.9053306579589844,5.75
121,2.0891189575195312,5.8
122,2.026824951171875,5.85
123,1.9361438751220703,5.89
124,1.9578056335449219,5.94
125,1.9035511016845703,5.99
126,1.9161376953125,6.04
127,1.9052562713623047,6.08
128,2.198627471923828,6.13
129,1.9598312377929688,6.17
130,1.961029052734375,6.23
131,2.0878334045410156,6.34
132,1.9359798431396484,6.42
133,2.0391998291015625,6.48
134,1.984579086303711,6.53
135,1.9808406829833984,6.58
136,2.1034793853759766,6.62
137,2.1009292602539062,6.67
138,2.2593307495117188,6.72
139,1.939443588256836,6.78
140,2.0040836334228516,6.83
141,1.9517745971679688,6.88
142,2.0983448028564453,6.92
143,1.922342300415039,6.96
144,2.044668197631836,7.01
145,2.001005172729492,7.06
146,2.0458831787109375,7.1
147,1.994394302368164,7.15
148,2.0981922149658203,7.2
149,2.0753021240234375,7.24
150,1.9066181182861328,7.29
151,1.9396743774414062,7.34
152,1.9157638549804688,7.38
153,1.9898605346679688,7.43
154,2.2245311737060547,7.48
155,1.8796844482421875,7.53
156,1.9446678161621094,7.58
157,2.0316925048828125,7.62
158,2.0172767639160156,7.67
159,2.1207523345947266,7.72
160,2.0238380432128906,7.77
161,2.0914955139160156,7.82
162,2.016742706298828,7.87
163,1.8919181823730469,7.91
164,1.8799896240234375,7.96
165,1.9760093688964844,8.01
166,1.9756278991699219,8.06
167,1.9521446228027344,8.11
168,1.9792823791503906,8.16
169,1.9721298217773438,8.2
170,2.0268325805664062,8.25
171,1.8853034973144531,8.3
172,1.8800830841064453,8.34
173,1.996908187866211,8.39
174,1.8895893096923828,8.44
175,1.974853515625,8.49
176,1.871124267578125,8.54
177,2.135692596435547,8.58
178,2.058156967163086,8.63
179,2.087078094482422,8.68
180,2.050321578979492,8.73
181,2.081329345703125,8.77
182,1.9019145965576172,8.82
183,2.057598114013672,8.87
184,2.006742477416992,8.91
185,1.9932384490966797,8.96
186,2.033082962036133,9.0
187,1.9175796508789062,9.05
188,1.9361419677734375,9.1
189,1.9359664916992188,9.14
190,1.99755859375,9.19
191,1.8321533203125,9.23
192,1.9104747772216797,9.28
193,1.9205188751220703,9.32
194,1.9718761444091797,9.37
195,2.132265090942383,9.42
196,1.9414234161376953,9.46
197,1.9995574951171875,9.51
198,2.0645179748535156,9.56
199,2.1833858489990234,9.6
200,2.127500534057617,9.65
201,1.9088134765625,9.7
202,1.9688949584960938,9.74
203,2.0725173950195312,9.79
204,1.8929462432861328,9.84
205,2.035585403442383,9.89
206,1.912139892578125,9.93
207,2.101442337036133,9.98
208,1.9774627685546875,10.03
209,2.033456802368164,10.07
210,2.0920181274414062,10.12
211,1.8903446197509766,10.17
212,1.9790267944335938,10.22
213,2.0256309509277344,10.27
214,1.8656024932861328,10.31
215,2.0207252502441406,10.36
216,1.9323348999023438,10.41
217,1.868194580078125,10.46
218,1.9072456359863281,10.51
219,2.0234336853027344,10.55
220,1.9627513885498047,10.6
221,2.1284122467041016,10.64
222,1.994131088256836,10.69
223,1.8712615966796875,10.74
224,1.9089641571044922,10.79
225,2.0047035217285156,10.83
226,1.994455337524414,10.88
227,1.977853775024414,10.93
228,2.0756359100341797,10.97
229,1.9035282135009766,11.02
230,1.9194145202636719,11.07
231,1.9679508209228516,11.11
232,1.9931716918945312,11.16
233,2.1867752075195312,11.21
234,1.913125991821289,11.26
235,2.0361194610595703,11.3
236,2.073375701904297,11.35
237,2.004058837890625,11.4
238,1.9641304016113281,11.45
239,2.25787353515625,11.49
240,2.0501346588134766,11.54
241,1.9703540802001953,11.59
242,1.910745620727539,11.64
243,2.0222396850585938,11.68
244,1.9731826782226562,11.73
245,2.1369991302490234,11.78
246,2.0204811096191406,11.82
247,2.1011600494384766,11.87
248,2.131031036376953,11.92
249,1.8559188842773438,11.96
250,1.9594306945800781,12.01
251,1.857025146484375,12.06
252,1.9940834045410156,12.1
253,2.0654239654541016,12.15
254,2.0097427368164062,12.2
255,1.9862499237060547,12.24
256,2.003448486328125,12.29
257,2.0554122924804688,12.34
258,1.9125518798828125,12.39
259,1.982666015625,12.44
260,2.087604522705078,12.48
261,1.9636116027832031,12.53
262,1.9707489013671875,12.58
263,1.9132938385009766,12.62
264,2.178295135498047,12.67
265,2.126924514770508,12.74
266,2.0459976196289062,12.81
267,1.9694538116455078,12.86
268,2.027505874633789,12.91
269,1.9436149597167969,12.95
270,2.123973846435547,13.0
271,1.987203598022461,13.05
272,2.048727035522461,13.09
273,1.9873828887939453,13.14
274,1.9679412841796875,13.18
275,2.0243358612060547,13.23
276,2.0362911224365234,13.28
277,1.9257774353027344,13.33
278,1.7711372375488281,13.38
279,2.037363052368164,13.43
280,2.0407371520996094,13.48
281,2.0030784606933594,13.53
282,1.9280929565429688,13.58
283,2.0470104217529297,13.63
284,2.021678924560547,13.68
285,2.052135467529297,13.73
286,2.0310211181640625,13.78
287,2.1366939544677734,13.82
288,2.1407241821289062,13.87
289,2.1223621368408203,13.92
290,2.071168899536133,13.96
291,2.070158004760742,14.01
292,2.1326637268066406,14.06
293,2.156667709350586,14.11
294,2.08087158203125,14.15
295,2.029115676879883,14.2
296,2.011821746826172,14.25
297,1.9654254913330078,14.3
298,1.8709354400634766,14.34
299,1.9217262268066406,14.39
300,1.989990234375,14.44
301,2.0572242736816406,14.48
302,2.1731338500976562,14.53
303,1.9391288757324219,14.58
304,2.0373897552490234,14.62
305,2.076995849609375,14.67
306,1.9722461700439453,14.71
307,1.9886932373046875,14.76
308,1.948556900024414,14.8
309,1.9929885864257812,14.85
310,2.0630874633789062,14.9
311,1.940500259399414,14.94
312,2.0048866271972656,14.99
313,1.9688072204589844,15.04
314,2.010110855102539,15.08
315,2.1176795959472656,15.13
316,1.9048957824707031,15.18
317,2.0192947387695312,15.22
318,1.9791584014892578,15.27
319,2.0290889739990234,15.32
320,2.0231246948242188,15.36
321,2.1211090087890625,15.41
322,2.02679443359375,15.46
323,2.051240921020508,15.51
324,2.025167465209961,15.56
325,2.063234329223633,15.6
326,2.0407333374023438,15.65
327,1.9895915985107422,15.69
328,2.0673961639404297,15.75
329,1.93487548828125,15.8
330,2.0646114349365234,15.86
331,1.961538314819336,15.91
332,2.060819625854492,15.98
333,1.9785823822021484,16.03
334,2.091533660888672,16.08
335,1.996480941772461,16.13
336,2.056743621826172,16.17
337,1.9278011322021484,16.21
338,2.08563232421875,16.26
339,2.0482406616210938,16.3
340,1.9907512664794922,16.35
341,2.114990234375,16.4
342,1.8696632385253906,16.44
343,1.8989849090576172,16.49
344,2.009206771850586,16.54
345,2.031953811645508,16.58
346,2.045246124267578,16.63
347,1.9599876403808594,16.68
348,1.9510440826416016,16.73
349,1.9423065185546875,16.78
350,2.0582714080810547,16.83
351,2.083385467529297,16.88
352,2.0888671875,16.93
353,2.0742321014404297,16.97
354,1.9576568603515625,17.02
355,2.017528533935547,17.07
356,2.129070281982422,17.11
357,2.0884876251220703,17.16
358,1.8044071197509766,17.2
359,2.0852298736572266,17.25
360,1.9445667266845703,17.3
361,1.9387359619140625,17.35
362,2.032045364379883,17.4
363,1.946939468383789,17.45
364,2.1389732360839844,17.49
365,2.090780258178711,17.54
366,2.015401840209961,17.59
367,2.0621376037597656,17.63
368,2.0743541717529297,17.68
369,2.145334243774414,17.73
370,1.9527530670166016,17.78
371,2.020061492919922,17.83
372,2.0315513610839844,17.88
373,2.0427608489990234,17.92
374,2.001729965209961,17.97
375,1.924642562866211,18.02
376,1.832723617553711,18.06
377,1.9838676452636719,18.11
378,2.1164321899414062,18.16
379,2.1675052642822266,18.21
380,1.9118022918701172,18.25
381,1.9609222412109375,18.3
382,1.9252891540527344,18.35
383,2.0512847900390625,18.39
384,2.026857376098633,18.44
385,2.078716278076172,18.49
386,1.9596691131591797,18.65
387,2.146677017211914,18.73
388,1.7732048034667969,18.78
389,2.0980472564697266,18.82
390,1.9134769439697266,18.86
391,1.9903945922851562,18.9
392,2.0299911499023438,18.95
393,1.9652290344238281,18.99
394,2.0296688079833984,19.03
395,1.9305419921875,19.08
396,1.8764266967773438,19.12
397,2.061044692993164,19.17
398,2.1956958770751953,19.21
399,2.1016063690185547,19.26
400,1.8576297760009766,19.3
401,1.8639564514160156,19.34
402,1.9952430725097656,19.39
403,1.9633808135986328,19.43
404,2.006956100463867,19.48
405,2.0144577026367188,19.52
406,2.0220298767089844,19.57
407,1.9758224487304688,19.61
408,2.0368824005126953,19.66
409,1.9431476593017578,19.7
410,1.9721012115478516,19.74
411,2.0822811126708984,19.79
412,2.112489700317383,19.83
413,1.9007396697998047,19.88
414,2.214933395385742,19.92
415,1.9977149963378906,19.97
416,2.0016231536865234,20.02
417,2.015848159790039,20.07
418,2.065004348754883,20.12
419,1.9071826934814453,20.17
420,2.058134078979492,20.22
421,2.0851573944091797,20.27
422,1.914529800415039,20.31
423,2.159116744995117,20.36
424,2.123706817626953,20.4
425,2.0478343963623047,20.44
426,2.048055648803711,20.49
427,1.9718513488769531,20.53
428,2.001676559448242,20.58
429,2.1095924377441406,20.62
430,2.088726043701172,20.67
431,2.00787353515625,20.71
432,2.096548080444336,20.75
433,2.0208053588867188,20.8
434,2.103473663330078,20.84
435,2.0126800537109375,20.89
436,1.9414615631103516,20.93
437,1.9001789093017578,20.98
438,1.9612770080566406,21.03
439,1.9766807556152344,21.08
440,2.1318740844726562,21.14
441,1.9772377014160156,21.19
442,1.9420852661132812,21.23
443,2.0477848052978516,21.28
444,1.9583072662353516,21.32
445,2.006847381591797,21.36
446,1.9967308044433594,21.4
447,2.001361846923828,21.45
448,2.0915584564208984,21.49
449,2.1893768310546875,21.54
450,1.9773139953613281,21.58
451,1.9575042724609375,21.62
452,1.7992687225341797,21.67
453,2.042499542236328,21.71
454,2.098163604736328,21.76
455,1.8352317810058594,21.8
456,1.944580078125,21.84
457,2.0938892364501953,21.88
458,2.0375328063964844,21.93
459,1.9838123321533203,21.97
460,2.0156784057617188,22.02
461,1.8758926391601562,22.06
462,2.1718368530273438,22.11
463,2.0464820861816406,22.15
464,1.9094676971435547,22.19
465,1.868539810180664,22.24
466,1.7950096130371094,22.28
467,1.8273906707763672,22.32
468,2.0454330444335938,22.36
469,1.9077110290527344,22.4
470,2.0349063873291016,22.45
471,1.9244060516357422,22.49
472,1.9117507934570312,22.54
473,1.9659576416015625,22.58
474,1.9882354736328125,22.62
475,1.9123306274414062,22.66
476,1.9398956298828125,22.71
477,2.1231536865234375,22.75
478,2.0058765411376953,22.79
479,1.889078140258789,22.84
480,1.9692668914794922,22.88
481,1.9037971496582031,22.92
482,2.0282249450683594,22.98
483,2.0508270263671875,23.03
484,2.0435352325439453,23.07
485,1.9665565490722656,23.12
486,2.0482025146484375,23.16
487,2.0512046813964844,23.21
488,2.065847396850586,23.25
489,1.8821029663085938,23.3
490,2.0726699829101562,23.36
491,2.0750198364257812,23.47
492,1.8740253448486328,23.53
493,2.0835533142089844,23.58
494,2.046316146850586,23.62
495,1.8497791290283203,23.66
496,2.3012161254882812,23.7
497,2.092721939086914,23.74
498,1.8824996948242188,23.79
499,2.048147201538086,23.83
